angkatan,program,ips_sem1,ips_sem2,ips_sem3,sks_sem1,sks_sem2,sks_sem3,failed_courses,failed_in_sem1,repeated_courses,ips_trend,avg_ips,ips_std,ips_min,sks_completion_ratio,target
2020,1,2.9,3.43,3.17,20.0,21.0,18.0,1,1,0,0.27,3.1666666666666665,0.26501572280401287,2.9,0.9833333333333333,1
2020,1,3.45,3.43,3.33,20.0,21.0,18.0,1,0,0,-0.1200000000000001,3.4033333333333338,0.06429100507328643,3.33,0.9833333333333333,1
2020,1,3.1,3.33,3.33,20.0,21.0,18.0,0,0,0,0.22999999999999998,3.2533333333333334,0.1327905619136139,3.1,0.9833333333333333,1
2020,1,3.1,3.24,3.67,20.0,21.0,18.0,8,0,0,0.5699999999999998,3.3366666666666664,0.297040962382856,3.1,0.9833333333333333,0
2020,1,3.2,3.43,3.33,20.0,21.0,18.0,0,0,0,0.1299999999999999,3.3200000000000003,0.11532562594670794,3.2,0.9833333333333333,0
2020,1,3.15,3.43,3.0,20.0,21.0,18.0,0,0,0,-0.1499999999999999,3.1933333333333334,0.21825062046494478,3.0,0.9833333333333333,0
2020,1,3.25,3.43,3.17,20.0,21.0,18.0,0,0,0,-0.08000000000000007,3.283333333333333,0.133166562369588,3.17,0.9833333333333333,1
2020,1,3.45,3.38,3.67,20.0,21.0,18.0,0,0,0,0.21999999999999975,3.5,0.15132745950421553,3.38,0.9833333333333333,1
2020,1,3.45,3.48,3.5,20.0,21.0,18.0,14,0,0,0.04999999999999982,3.4766666666666666,0.025166114784235735,3.45,0.9833333333333333,0
2020,1,3.73,3.75,4.0,131.0,8.0,6.0,0,0,0,0.27,3.8266666666666667,0.1504437879519568,3.73,2.4166666666666665,1
2020,1,3.44,3.5,4.0,131.0,8.0,6.0,0,0,0,0.56,3.6466666666666665,0.30746273486933884,3.44,2.4166666666666665,1
2020,1,3.68,3.75,4.0,131.0,8.0,6.0,0,0,0,0.31999999999999984,3.81,0.16822603841260717,3.68,2.4166666666666665,1
2020,1,3.51,3.5,4.0,131.0,8.0,6.0,0,0,0,0.4900000000000002,3.67,0.2858321185591291,3.5,2.4166666666666665,1
2020,1,3.16,3.46,3.2,112.0,13.0,20.0,0,0,0,0.040000000000000036,3.2733333333333334,0.16289055630494145,3.16,2.4166666666666665,1
2020,1,3.31,3.5,3.0,131.0,8.0,6.0,0,0,0,-0.31000000000000005,3.27,0.25238858928247926,3.0,2.4166666666666665,1
2020,1,3.71,3.5,4.0,131.0,8.0,6.0,0,0,0,0.29000000000000004,3.736666666666667,0.251064400768674,3.5,2.4166666666666665,1
2020,1,3.56,3.5,3.0,131.0,8.0,6.0,0,0,0,-0.56,3.3533333333333335,0.30746273486933884,3.0,2.4166666666666665,1
2020,1,3.38,3.5,4.0,131.0,8.0,6.0,0,0,0,0.6200000000000001,3.6266666666666665,0.32883633213702734,3.38,2.4166666666666665,1
2020,1,3.4,3.25,3.0,131.0,8.0,6.0,0,0,0,-0.3999999999999999,3.216666666666667,0.20207259421636897,3.0,2.4166666666666665,1
2020,1,3.56,3.5,4.0,131.0,8.0,6.0,0,0,0,0.43999999999999995,3.686666666666667,0.2730079363925769,3.5,2.4166666666666665,1
2020,1,3.3,3.5,3.0,131.0,8.0,6.0,0,0,0,-0.2999999999999998,3.266666666666667,0.2516611478423583,3.0,2.4166666666666665,1
2020,1,3.41,3.5,4.0,131.0,8.0,6.0,0,0,0,0.5899999999999999,3.6366666666666667,0.31785741037976967,3.41,2.4166666666666665,1
2020,1,3.39,3.5,4.0,131.0,8.0,6.0,0,0,0,0.6099999999999999,3.6300000000000003,0.3251153641401771,3.39,2.4166666666666665,1
2020,1,3.29,3.25,3.0,131.0,8.0,6.0,0,0,0,-0.29000000000000004,3.1799999999999997,0.15716233645501712,3.0,2.4166666666666665,1
2020,1,3.46,3.5,4.0,131.0,8.0,6.0,0,0,0,0.54,3.6533333333333338,0.3008875759039136,3.46,2.4166666666666665,1
2020,1,3.16,3.5,3.0,131.0,8.0,6.0,0,0,0,-0.16000000000000014,3.22,0.25534290669607407,3.0,2.4166666666666665,1
2020,1,3.49,3.5,3.0,131.0,8.0,6.0,0,0,0,-0.4900000000000002,3.33,0.2858321185591291,3.0,2.4166666666666665,1
2020,1,3.31,3.75,4.0,131.0,8.0,6.0,0,0,0,0.69,3.686666666666667,0.3493326972004386,3.31,2.4166666666666665,1
2020,1,3.54,3.5,4.0,131.0,8.0,6.0,0,0,0,0.45999999999999996,3.6799999999999997,0.2778488797889961,3.5,2.4166666666666665,1
2020,1,3.15,3.25,3.0,131.0,8.0,6.0,1,1,0,-0.1499999999999999,3.1333333333333333,0.12583057392117916,3.0,2.4166666666666665,1
2020,1,3.06,3.25,4.0,131.0,8.0,6.0,0,0,0,0.94,3.436666666666667,0.49702447961175245,3.06,2.4166666666666665,1
2020,1,3.11,3.25,3.0,131.0,8.0,6.0,0,0,0,-0.10999999999999988,3.1199999999999997,0.12529964086141668,3.0,2.4166666666666665,1
2020,1,3.07,3.25,3.0,131.0,8.0,6.0,0,0,0,-0.06999999999999984,3.106666666666667,0.12897028081435405,3.0,2.4166666666666665,1
